RAL 1000; Grünbeige; 214, 199, 148
RAL 1001; Beige; 217, 186, 140 
RAL 1002; Sandgelb; 214, 176, 117 
RAL 1003; Signalgelb; 252, 163, 41 
RAL 1004; Goldgelb; 227, 150, 36 
RAL 1005; Honiggelb; 201, 135, 33 
RAL 1006; Maisgelb; 224, 130, 31 
RAL 1007; Narzissengelb; 227, 122, 31 
RAL 1011; Braunbeige; 173, 122, 79 
RAL 1012; Zitronengelb; 227, 184, 56 
RAL 1013; Perlweiß; 255, 245, 227
RAL 1014; Elfenbein; 240, 214, 171 
RAL 1015; Hellelfenbein; 252, 235, 204 
RAL 1016; Schwefelgelb; 255, 245, 66 
RAL 1017; Safrangelb; 255, 171, 89 
RAL 1018; Zinkgelb; 255, 214, 77 
RAL 1019; Graubeige; 163, 140, 122 
RAL 1020; Olivgelb; 156, 143, 97 
RAL 1021; Rapsgelb; 252, 189, 31 
RAL 1023; Verkehrsgelb; 252, 184, 33 
RAL 1024; Ockergelb; 181, 140, 79 
RAL 1026; Leuchtgelb; 255, 255, 10 
RAL 1027; Currygelb; 153, 117, 33 
RAL 1028; Melonengelb; 255, 140, 26 
RAL 1032; Ginstergelb; 227, 163, 41 
RAL 1033; Dahliengelb; 255, 148, 54 
RAL 1034; Pastellgelb; 247, 153, 92 
RAL 1037; Sonnengelb; 239, 169, 33 
RAL 2000; Gelborange; 224, 94, 31 
RAL 2001; Rotorange; 186, 46, 33 
RAL 2002; Blutorange; 204, 36, 28 
RAL 2003; Pastellorange; 255, 99, 54 
RAL 2004; Reinorange; 242, 59, 28 
RAL 2005; Leuchtorange; 252, 28, 20 
RAL 2007; Leuchthellorange; 255, 117, 33 
RAL 2008; Hellrotorange; 250, 79, 41 
RAL 2009; Verkehrsorange; 235, 59, 28 
RAL 2010; Signalorange; 212, 69, 41 
RAL 2011; Tieforange; 237, 92, 41 
RAL 2012; Lachsorange; 222, 82, 71 
RAL 3000; Feuerrot; 171, 31, 28 
RAL 3001; Signalrot; 163, 23, 26 
RAL 3002; Kaminrot; 163, 26, 26 
